SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 19/09/2025 HORA: 10:06:27;
PERÍODO DE: 01/01/2025 A 31/01/2025;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
903201;DESP. LEGAIS CARTORIO, DESPACHANTE E JUDICIAIS;0;12205,97;0;-12205,97;
903199;DOACOES E BRINDES;0;925,40;0;-925,40;
903171;ENERGIA ELETRICA;0;4903,58;0;-4903,58;
903267;FRETES E CARRETOS DE TERCEIROS;0;25872,83;0;-25872,83;
903187;MANUT. CONSERV. E REPAROS DE VEICULOS;0;3007,80;0;-3007,80;
903182;MANUT. CONSERV. INST. DE MOVEIS/IMOVEIS E UTENS.;0;49224,22;0;-49224,22;
913314;(-) PIS CREDITOS LEI 10.637/2002;0;0;-1006,35;1006,35;
903176;PRO-LABORE;0;60422,46;0;-60422,46;
903202;PROPAGANDAS E PUBLICIDADES;0;14561,29;0;-14561,29;
903183;SEGUROS DE VEICULOS;0;3414,00;0;-3414,00;
903178;SUPRIMENTOS DE INFORMATICA;0;485,60;0;-485,60;
903212;TAXAS DE EXPEDIENTE;0;4,65;0;-4,65;
903210;UTENSILIOS/FERRAM./BENS PEQUENO VALOR;0;553,84;0;-553,84;
3.04.02;DESPESAS C/ VENDAS;0;326658,68;0;-326658,68;
913396;CONSUMO INTER PEÇAS;0;173160,58;0;-173160,58;
913257;CUSTO SERVICO INTERNO - MAQUINAS AGCO NOVA;0;110464,19;0;-110464,19;
909549;DESPESA C/ VIAGENS E HOSPEDAGEM VENDAS;0;2592,00;0;-2592,00;
915143;DESPESAS C/ COMPRA DE SINAIS (PTX);0;24771,89;0;-24771,89;
903265;FEIRAS E EXPOSICOES E DIAS DE CAMPO;0;431,57;0;-431,57;
